"Project Key","Issue Type","Summary","Description","Priority","Assignee","Labels","Epic Name","Epic Link","Sprint","Story Points","Depends On"
"STOCK","Epic","EPIC-01 Foundation and Instrumentation Spine","Establish delivery safety, observability, and analytics foundation before feature acceleration.","Highest","Backend Lead","phase0,foundation,observability,analytics","Foundation and Instrumentation Spine","","Sprint 1","13",""
"STOCK","Story","SP1-01 Add migration framework and schema versioning","Implement migration runner, schema version table, and rollback command with dry-run support.","Highest","Backend Lead","phase0,migrations,db","","EPIC-01","Sprint 1","5",""
"STOCK","Story","SP1-02 Add smoke tests for auth, stocks, and webhook signature","Create smoke tests for auth session flow, stocks endpoint health, and webhook signature validation.","Highest","QA Engineer","phase0,qa,smoke-tests","","EPIC-01","Sprint 1","5","SP1-01"
"STOCK","Story","SP1-03 Add API and webhook observability dashboards","Add metrics, traces, and alerts for API 5xx, webhook failures, and p95 latency.","Highest","DevOps Engineer","phase0,observability,sre","","EPIC-01","Sprint 1","3","SP1-01"
"STOCK","Story","SP1-04 Define and freeze event taxonomy v1","Finalize event names, categories, and required properties for funnel and retention analytics.","High","Product Manager","phase0,analytics,taxonomy","","EPIC-01","Sprint 1","3",""
"STOCK","Story","SP1-05 Build analytics ingestion endpoint with schema validation","Implement server endpoint to ingest events with strict schema validation and rejection logging.","Highest","Backend Engineer","phase0,analytics,events","","EPIC-01","Sprint 1","8","SP1-04"

"STOCK","Epic","EPIC-02 User-Owned Data Features","Implement sticky user workflows first: watchlists, saved screeners, alerts, and preferences.","Highest","Frontend Lead","phase1,retention,features","User-Owned Data Features","","Sprint 2","21",""
"STOCK","Story","SP2-01 Implement watchlists and watchlist_items APIs","Create CRUD APIs and indexes for watchlists and watchlist items.","Highest","Backend Engineer","phase1,watchlist,api","","EPIC-02","Sprint 2","8","SP1-01"
"STOCK","Story","SP2-02 Implement saved_screeners APIs","Create CRUD APIs for saved screener filters, sort presets, and reusable views.","Highest","Backend Engineer","phase1,screener,api","","EPIC-02","Sprint 2","5","SP1-01"
"STOCK","Story","SP2-03 Wire watchlist and saved screener UI to real APIs","Replace placeholders with persisted user data interactions across core pages.","Highest","Frontend Engineer","phase1,frontend,watchlist,screener","","EPIC-02","Sprint 2","8","SP2-01"
"STOCK","Story","SP2-04 Implement alert rules v1 with trigger history","Support price_above and price_below alerts with alert_triggers persistence.","High","Backend Engineer","phase1,alerts,notifications","","EPIC-02","Sprint 2","8","SP2-01"
"STOCK","Story","SP2-05 Persist profile preferences and notification settings","Store and load locale and notification preferences per user profile.","Medium","Frontend Engineer","phase1,profile,preferences","","EPIC-02","Sprint 2","3","SP2-02"

"STOCK","Epic","EPIC-03 Research Data Pipeline V1","Build data moat with deep fundamentals, ownership snapshots, and alternative sentiment signals.","Highest","Data Lead","phase2,data-pipeline,research,moat","Research Data Pipeline V1","","Sprint 3","26",""
"STOCK","Story","SP3-01 Split datasets into master and daily fact tables","Create stocks_master, stocks_market_daily, and stocks_governance_daily with partition strategy.","Highest","Data Engineer","phase2,pipeline,schema","","EPIC-03","Sprint 3","8","SP1-01"
"STOCK","Story","SP3-02 Add ownership snapshots and concentration metrics pipeline","Generate daily ownership snapshots and concentration indicators by symbol.","Highest","Data Engineer","phase2,pipeline,ownership","","EPIC-03","Sprint 3","5","SP3-01"
"STOCK","Story","SP3-03 Expand fundamentals schema for 3-5 year history","Add multi-year financial statements and accounting quality factors for screening.","Highest","Data Engineer","phase2,pipeline,fundamentals,history","","EPIC-03","Sprint 3","8","SP3-01"
"STOCK","Story","SP3-04 Build alternative sentiment ingestion v1","Ingest and normalize sentiment features from news and social signals for LQ45 focus set.","High","Data Engineer","phase2,pipeline,sentiment,alternative-data","","EPIC-03","Sprint 3","8","SP3-01"
"STOCK","Story","SP3-05 Add data lineage and quality gates","Track freshness, null rates, split-adjust checks, and dataset-level quality scores.","High","Data Engineer","phase2,pipeline,data-quality,lineage","","EPIC-03","Sprint 3","5","SP3-01"

"STOCK","Epic","EPIC-04 Advanced Screening Intelligence","Convert deep data into differentiated screening and statistical analysis workflows.","Highest","Product Lead","phase3,screening,quant,differentiation","Advanced Screening Intelligence","","Sprint 4","24",""
"STOCK","Story","SP4-01 Implement statistical filters and factor screens","Add z-score, rolling volatility, regression beta, and dispersion-based filters.","Highest","Backend Engineer","phase3,quant,filters","","EPIC-04","Sprint 4","8","SP3-03"
"STOCK","Story","SP4-02 Build multi-factor scoring engine v2 with explainability","Upgrade scoring to include accounting and sentiment factors with feature contribution output.","Highest","Backend Engineer","phase3,scoring,ai,explainability","","EPIC-04","Sprint 4","8","SP3-03"
"STOCK","Story","SP4-03 Add advanced screener UI for quant filters","Expose advanced controls and presets in UI for serious investor workflows.","High","Frontend Engineer","phase3,frontend,screener,ux","","EPIC-04","Sprint 4","8","SP4-01"
"STOCK","Story","SP4-04 Add backtest-lite signal history module","Provide signal history and hit-rate summary for screening criteria over historical windows.","High","Data Engineer","phase3,backtest,analytics","","EPIC-04","Sprint 4","8","SP3-03"
"STOCK","Story","SP4-05 Build cohort and funnel dashboard for feature adoption","Track stickiness and conversion by watchlist, alerts, and advanced filter adoption.","High","Data Analyst","phase3,analytics,cohort,funnel","","EPIC-04","Sprint 4","5","SP1-05"

"STOCK","Epic","EPIC-05 Billing Ledger Core Hardened","Implement resilient billing state machine after product value and usage are established.","Highest","Backend Lead","phase4,billing,ledger,idempotency","Billing Ledger Core Hardened","","Sprint 5","24",""
"STOCK","Story","SP5-01 Create subscriptions and invoices collections with indexes","Create subscription lifecycle and invoice schemas with operational indexes.","Highest","Backend Engineer","phase4,billing,schema","","EPIC-05","Sprint 5","5","SP1-01"
"STOCK","Story","SP5-02 Create payment_transactions with strict idempotency keys","Persist payment lifecycle with unique keys for order and provider transaction ids.","Highest","Backend Engineer","phase4,billing,payments,idempotency","","EPIC-05","Sprint 5","8","SP1-01"
"STOCK","Story","SP5-03 Persist pending payment at checkout creation","Write pending transaction row during payment intent/token creation.","Highest","Backend Engineer","phase4,billing,checkout","","EPIC-05","Sprint 5","5","SP5-02"
"STOCK","Story","SP5-04 Implement webhook state machine and exactly-once plan upgrade","Support out-of-order/retry-safe webhook handling and atomic plan upgrade execution.","Highest","Backend Engineer","phase4,billing,webhook,state-machine","","EPIC-05","Sprint 5","8","SP5-02"
"STOCK","Story","SP5-05 Add reconciliation jobs and finance audit endpoints","Build daily reconciliation and internal endpoints for failed, pending, and settled records.","High","Backend Engineer","phase4,billing,reconciliation,audit","","EPIC-05","Sprint 5","5","SP5-04"

"STOCK","Epic","EPIC-06 API Monetization and Low-Latency Metering","Monetize data access with scalable API key controls and fast quota enforcement.","Highest","Backend Lead","phase5,api,monetization,metering,redis","API Monetization and Low-Latency Metering","","Sprint 6","26",""
"STOCK","Story","SP6-01 Implement API keys with secure hashing and scope model","Create API key issuance/revocation and endpoint scope mapping by plan.","Highest","Backend Engineer","phase5,api-keys,security","","EPIC-06","Sprint 6","5","SP1-01"
"STOCK","Story","SP6-02 Build Redis-based real-time rate limiter and quota counters","Use Redis token bucket/counters for low-latency request checks.","Highest","Backend Engineer","phase5,redis,rate-limit,quota","","EPIC-06","Sprint 6","8","SP6-01"
"STOCK","Story","SP6-03 Add async usage write-behind to durable store","Stream usage to persistent storage asynchronously for billing and analytics.","Highest","Data Engineer","phase5,metering,usage,async","","EPIC-06","Sprint 6","8","SP6-02"
"STOCK","Story","SP6-04 Define API product packages and plan scopes","Package core, enriched, and historical APIs with enforceable entitlements.","High","Product Manager","phase5,packaging,pricing","","EPIC-06","Sprint 6","5","SP6-01"
"STOCK","Story","SP6-05 Build usage dashboard and invoice-ready export","Expose usage, overages, and CSV export for finance operations.","Medium","Frontend Engineer","phase5,reporting,finance-tools","","EPIC-06","Sprint 6","5","SP6-03"

"STOCK","Epic","EPIC-07 Paywall Activation and Growth Optimization","Activate paywall with a feature-based free tier and conversion experiments.","Highest","Growth Lead","phase6,paywall,growth,experiments","Paywall Activation and Growth Optimization","","Sprint 7","21",""
"STOCK","Story","SP7-01 Re-enable backend gating with feature-tier policy","Gate advanced statistical and sentiment features while keeping basic screening free.","Highest","Backend Engineer","phase6,paywall,backend,feature-gating","","EPIC-07","Sprint 7","5","SP5-04"
"STOCK","Story","SP7-02 Re-enable frontend premium access controls and upgrade UX","Restore premium tab gating and contextual upgrade prompts.","Highest","Frontend Engineer","phase6,paywall,frontend,ux","","EPIC-07","Sprint 7","5","SP7-01"
"STOCK","Story","SP7-03 Launch pricing and CTA experiments","Run A/B tests on pricing presentation, trial messaging, and upgrade CTAs.","High","Product Manager","phase6,growth,ab-testing","","EPIC-07","Sprint 7","5","SP4-05"
"STOCK","Story","SP7-04 Add cancellation flow and churn feedback capture","Capture churn reasons and emit structured churn events for retention analysis.","High","Frontend Engineer","phase6,churn,retention","","EPIC-07","Sprint 7","3","SP1-05"
"STOCK","Story","SP7-05 Run hypercare with rollback triggers and SLO guardrails","Monitor conversion, payment integrity, and latency with incident playbook activation.","Highest","DevOps Engineer","phase6,hypercare,sre","","EPIC-07","Sprint 7","3","SP7-01"
